一	<div class=tone1>yī</div>	yi1	one	1		[sound:cmn-yi1.mp3]	<img src="一_img_ancient.svg">	<img src="一_stroke_order.svg">
丨	<div class=tone3>gǔn</div>	gun3	line	2		[sound:cmn-gun3.mp3]	<img src="丨_img_ancient.svg">	<img src="丨_stroke_order.svg">
丶	<div class=tone3>zhǔ</div>	zhu3	dot	3		[sound:cmn-zhu3.mp3]	<img src="丶_img_ancient.svg">	<img src="丶_stroke_order.svg">
丿	<div class=tone3>piě</div>	pie3	slash	4	乀, 乁	[sound:cmn-pie3.mp3]	<img src="丿_img_ancient.svg">	<img src="丿_stroke_order.svg">
乙	<div class=tone3>yǐ</div>	yi3	second	5	乚, 乛	[sound:cmn-yi3.mp3]	<img src="乙_img_ancient.svg">	<img src="乙_stroke_order.svg">
亅	<div class=tone2>jué</div>	jue2	hook	6		[sound:cmn-jue2.mp3]	<img src="亅_img_ancient.svg">	<img src="亅_stroke_order.svg">
二	<div class=tone4>èr</div>	er4	two	7		[sound:cmn-er4.mp3]	<img src="二_img_ancient.svg">	<img src="二_stroke_order.svg">
亠	<div class=tone2>tóu</div>	tou2	lid	8		[sound:cmn-tou2.mp3]		<img src="亠_stroke_order.svg">
人	<div class=tone2>rén</div>	ren2	man, human	9	亻	[sound:cmn-ren2.mp3]	<img src="人_img_ancient.svg">	<img src="人_stroke_order.svg">
儿	<div class=tone2>ér</div>, <div class=tone5>er</div>	er2 er5	legs	10		[sound:cmn-er2.mp3]	<img src="儿_img_ancient.svg">	<img src="儿_stroke_order.svg">
入	<div class=tone4>rù</div>	ru4	enter	11		[sound:cmn-ru4.mp3]	<img src="入_img_ancient.svg">	<img src="入_stroke_order.svg">
八	<div class=tone1>bā</div>	ba1	eight	12		[sound:cmn-ba1.mp3]	<img src="八_img_ancient.svg">	<img src="八_stroke_order.svg">
冂	<div class=tone1>jīong</div>	jiong1	open country	13		[sound:cmn-jiong1.mp3]	<img src="冂_img_ancient.svg">	<img src="冂_stroke_order.svg">
冖	<div class=tone4>mì</div>	mi4	cover	14		[sound:cmn-mi4.mp3]	<img src="冖_img_ancient.svg">	<img src="冖_stroke_order.svg">
冫	<div class=tone1>bīng</div>	bing1	ice	15		[sound:cmn-bing1.mp3]	<img src="冫_img_ancient.svg">	<img src="冫_stroke_order.svg">
几	<div class=tone1>jī</div>, <div class=tone3>jǐ</div>	ji1 ji3	table	16		[sound:cmn-ji1.mp3]	<img src="几_img_ancient.svg">	<img src="几_stroke_order.svg">
凵	<div class=tone1>qū</div>	qu1	container, open mouth	17		[sound:cmn-qu1.mp3]		<img src="凵_stroke_order.svg">
刀	<div class=tone1>dāo</div>	dao1	knife, sword	18	刁, 刂	[sound:cmn-dao1.mp3]	<img src="刀_img_ancient.svg">	<img src="刀_stroke_order.svg">
力	<div class=tone4>lì</div>	li4	power, force	19		[sound:cmn-li4.mp3]	<img src="力_img_ancient.svg">	<img src="力_stroke_order.svg">
勹	<div class=tone1>bāo</div>	bao1	wrap, embrace	20		[sound:cmn-bao1.mp3]		<img src="勹_stroke_order.svg">
匕	<div class=tone3>bǐ</div>	bi3	spoon	21		[sound:cmn-bi3.mp3]	<img src="匕_img_ancient.svg">	<img src="匕_stroke_order.svg">
匚	<div class=tone1>fāng</div>	fang1	box	22		[sound:cmn-fang1.mp3]		<img src="匚_stroke_order.svg">
匸	<div class=tone3>xǐ</div>	xi3	hiding enclosure	23		[sound:cmn-xi3.mp3]		<img src="匸_stroke_order.svg">
十	<div class=tone2>shí</div>	shi2	ten, complete	24		[sound:cmn-shi2.mp3]	<img src="十_img_ancient.svg">	<img src="十_stroke_order.svg">
卜	<div class=tone3>bǔ</div>	bu3	divination	25		[sound:cmn-bu3.mp3]	<img src="卜_img_ancient.svg">	<img src="卜_stroke_order.svg">
卩	<div class=tone2>jié</div>, <div class=tone4>bù</div>	jie2 bu4	kneel	26		[sound:cmn-jie2.mp3]	<img src="卩_img_ancient.svg">	<img src="卩_stroke_order.svg">
厂	<div class=tone3>chǎng</div>, <div class=tone4>hàn</div>, <div class=tone1>ān</div>	chang3 han4 an1	cliff	27		[sound:cmn-chang3.mp3]	<img src="厂_img_ancient.svg">	<img src="厂_stroke_order.svg">
厶	<div class=tone1>sī</div>, <div class=tone3>mǒu</div>	si1 mou3	private	28		[sound:cmn-si1.mp3]	<img src="厶_img_ancient.svg">	<img src="厶_stroke_order.svg">
又	<div class=tone4>yòu</div>	you4	right hand	29		[sound:cmn-you4.mp3]	<img src="又_img_ancient.svg">	<img src="又_stroke_order.svg">
口	<div class=tone3>kǒu</div>	kou3	mouth, opening	30		[sound:cmn-kou3.mp3]	<img src="口_img_ancient.svg">	<img src="口_stroke_order.svg">
囗	<div class=tone2>wéi</div>	wei2	enclosure	31		[sound:cmn-wei2.mp3]	<img src="囗_img_ancient.svg">	<img src="囗_stroke_order.svg">
土	<div class=tone3>tǔ</div>	tu3	earth	32		[sound:cmn-tu3.mp3]	<img src="土_img_ancient.svg">	<img src="土_stroke_order.svg">
士	<div class=tone4>shì</div>	shi4	scholar, bachelor	33		[sound:cmn-shi4.mp3]	<img src="士_img_ancient.svg">	<img src="士_stroke_order.svg">
夂	<div class=tone3>zhǐ</div>	zhi3	go	34		[sound:cmn-zhi3.mp3]	<img src="夂_img_ancient.svg">	<img src="夂_stroke_order.svg">
夊	<div class=tone1>suī</div>	sui1	go slowly	35		[sound:cmn-sui1.mp3]	<img src="夊_img_ancient.svg">	<img src="夊_stroke_order.svg">
夕	<div class=tone1>xī</div>, <div class=tone4>xì</div>	xi1 xi4	evening, sunset	36		[sound:cmn-xi1.mp3]	<img src="夕_img_ancient.svg">	<img src="夕_stroke_order.svg">
大	<div class=tone4>dà</div>, <div class=tone4>dài</div>, <div class=tone4>tài</div>	da4 dai4 tai4	big, very	37	夨	[sound:cmn-da4.mp3]	<img src="大_img_ancient.svg">	<img src="大_stroke_order.svg">
女	<div class=tone3>nǚ</div>, <div class=tone3>rǔ</div>	nü3 ru3	woman, female	38		[sound:cmn-nv3.mp3]	<img src="女_img_ancient.svg">	<img src="女_stroke_order.svg">
子	<div class=tone3>zǐ</div>, <div class=tone5>zi</div>	zi3 zi5	child, seed	39	孑, 孒, 孓	[sound:cmn-zi3.mp3]	<img src="子_img_ancient.svg">	<img src="子_stroke_order.svg">
宀	<div class=tone2>mián</div>	mian2	roof	40		[sound:cmn-mian2.mp3]	<img src="宀_img_ancient.svg">	<img src="宀_stroke_order.svg">
寸	<div class=tone4>cùn</div>	cun4	thumb, inch	41		[sound:cmn-cun4.mp3]	<img src="寸_img_ancient.svg">	<img src="寸_stroke_order.svg">
小	<div class=tone3>xiǎo</div>	xiao3	small, insignificant	42		[sound:cmn-xiao3.mp3]	<img src="小_img_ancient.svg">	<img src="小_stroke_order.svg">
尢	<div class=tone1>wāng</div>, <div class=tone2>yóu</div>	wang1 you2	lame	43	尣	[sound:cmn-wang1.mp3]	<img src="尢_img_ancient.svg">	<img src="尢_stroke_order.svg">
